sbas;shaut;caractere
10;11;0
14;16;1
17;19;2
23;25;3
34;37;4
40;44;5
47;52;6
57;63;7
68;75;8
81;89;9
97;106;racine carrée
113;123;puissance
128;139;+
150;163;-
177;192;*
209;226;÷
244;264;sinus
277;298;cosinus
316;338;tangente
380;404;(
426;451;)
475;500;a
523;549;b
566;591;c
602;626;d
646;670;e
671;694;f
712;733;g
737;757;h
758;777;I
792;810;j
823;838;k
849;863;l
875;888;m
898;909;n
918;927;o
935;942;p
947;954;q
957;963;r
967;973;s
977;982;t
986;989;u
992;995;v
997;1000;w
1002;1004;x
1005;1007;y
1008;1010;z
